Birth;Sex;Reg;RegType;UkrTestStatus;Year;ID
1949;чоловіча;Харківська  ;місто;Не з’явився;2018;1
1952;чоловіча;Київська  ;місто;null;2018;2
1954;жіноча;Полтавська  ;місто;Не подолав поріг;2018;3
1954;чоловіча;Миколаївська  ;місто;Зараховано;2018;4
1957;чоловіча;Вінницька  ;село;Не з’явився;2018;5
1958;жіноча;Тернопільська  ;місто;Не з’явився;2018;6
1958;чоловіча;Миколаївська  ;місто;Зараховано;2018;7
1959;жіноча;Харківська  ;місто;Зараховано;2018;8
1959;чоловіча;Харківська  ;місто;Не з’явився;2018;9
1959;жіноча;Дніпропетровська  ;місто;Зараховано;2018;10
1960;жіноча;Чернівецька  ;село;null;2018;11
1960;чоловіча;Тернопільська  ;місто;Не з’явився;2018;12
1960;жіноча;Дніпропетровська  ;село;Не з’явився;2018;13
1960;чоловіча;Дніпропетровська  ;місто;Не з’явився;2018;14
1961;жіноча;Дніпропетровська  ;місто;Зараховано;2018;15
1961;чоловіча;Харківська  ;місто;Зараховано;2018;16
1961;жіноча;Кіровоградська  ;місто;Зараховано;2018;17
1961;жіноча;Черкаська  ;місто;Зараховано;2018;18
1962;жіноча;м.Київ;місто;Зараховано;2018;19
1962;жіноча;Кіровоградська  ;село;Не подолав поріг;2018;20
1962;чоловіча;Полтавська  ;місто;null;2018;21
1963;жіноча;Запорізька  ;місто;Зараховано;2018;22
1963;чоловіча;Львівська  ;місто;Не з’явився;2018;23
1963;чоловіча;Запорізька  ;місто;Зараховано;2018;24
1963;жіноча;Кіровоградська  ;місто;Зараховано;2018;25
1963;жіноча;Кіровоградська  ;місто;Зараховано;2018;26
1963;жіноча;Дніпропетровська  ;місто;Зараховано;2018;27
1963;жіноча;Дніпропетровська  ;село;Не з’явився;2018;28
1963;жіноча;Івано-Франківська  ;місто;Зараховано;2018;29
1964;чоловіча;Львівська  ;місто;null;2018;30
1964;чоловіча;м.Київ;місто;Зараховано;2018;31
1964;жіноча;Миколаївська  ;місто;Не з’явився;2018;32
1964;жіноча;Донецька  ;село;Зараховано;2018;33
1964;жіноча;Запорізька  ;місто;Зараховано;2018;34
1964;жіноча;Донецька  ;місто;Зараховано;2018;35
1965;жіноча;Харківська  ;місто;Зараховано;2018;36
1965;жіноча;Запорізька  ;місто;Зараховано;2018;37
1965;жіноча;Дніпропетровська  ;місто;Зараховано;2018;38
1965;жіноча;м.Київ;місто;Зараховано;2018;39
1965;жіноча;Івано-Франківська  ;село;Не з’явився;2018;40
1965;чоловіча;Запорізька  ;місто;Зараховано;2018;41
1965;жіноча;Житомирська  ;місто;Зараховано;2018;42
1965;чоловіча;Донецька  ;місто;Не з’явився;2018;43
1965;жіноча;Кіровоградська  ;місто;Зараховано;2018;44
1965;жіноча;Львівська  ;місто;Не з’явився;2018;45
1965;жіноча;Дніпропетровська  ;село;Зараховано;2018;46
1965;чоловіча;Дніпропетровська  ;місто;Не з’явився;2018;47
1965;жіноча;Одеська  ;місто;Зараховано;2018;48
1965;жіноча;Луганська  ;місто;Зараховано;2018;49
1965;жіноча;Запорізька  ;місто;Не з’явився;2018;50
1965;жіноча;м.Київ;місто;Зараховано;2018;51
1966;жіноча;Черкаська  ;місто;Зараховано;2018;52
1966;жіноча;Одеська  ;місто;Зараховано;2018;53
1966;чоловіча;Харківська  ;місто;Зараховано;2018;54
1966;чоловіча;Київська  ;місто;Не з’явився;2018;55
1966;чоловіча;м.Київ;місто;Не з’явився;2018;56
1967;чоловіча;Полтавська  ;місто;Зараховано;2018;57
1967;жіноча;Запорізька  ;місто;Зараховано;2018;58
1967;жіноча;Херсонська  ;місто;null;2018;59
1967;жіноча;Київська  ;місто;Зараховано;2018;60
1967;жіноча;Одеська  ;місто;Зараховано;2018;61
1967;чоловіча;Запорізька  ;село;Не з’явився;2018;62
1967;жіноча;Сумська  ;місто;Зараховано;2018;63
1967;жіноча;м.Київ;місто;Зараховано;2018;64
1967;жіноча;Закарпатська  ;село;Зараховано;2018;65
1967;жіноча;Дніпропетровська  ;місто;Зараховано;2018;66
1967;жіноча;Харківська  ;місто;Зараховано;2018;67
1967;жіноча;Одеська  ;село;Зараховано;2018;68
1967;жіноча;Харківська  ;місто;Не з’явився;2018;69
1967;жіноча;Одеська  ;місто;Зараховано;2018;70
1967;чоловіча;Львівська  ;село;Не з’явився;2018;71
1967;жіноча;Дніпропетровська  ;село;Зараховано;2018;72
1967;чоловіча;Кіровоградська  ;місто;Не подолав поріг;2018;73
1968;жіноча;Полтавська  ;село;null;2018;74
1968;жіноча;Дніпропетровська  ;місто;Зараховано;2018;75
1968;чоловіча;Хмельницька  ;місто;Зараховано;2018;76
1968;чоловіча;м.Київ;місто;Не з’явився;2018;77
1968;жіноча;Херсонська  ;місто;Зараховано;2018;78
1968;жіноча;Дніпропетровська  ;місто;Не з’явився;2018;79
1968;чоловіча;Дніпропетровська  ;місто;Зараховано;2018;80
1968;чоловіча;Волинська  ;місто;Не з’явився;2018;81
1968;жіноча;Запорізька  ;село;Зараховано;2018;82
1968;чоловіча;Запорізька  ;село;Зараховано;2018;83
1968;жіноча;Вінницька  ;місто;Зараховано;2018;84
1968;чоловіча;м.Київ;місто;Зараховано;2018;85
1968;жіноча;Харківська  ;місто;Зараховано;2018;86
1968;жіноча;Дніпропетровська  ;місто;Зараховано;2018;87
1968;жіноча;Чернігівська  ;місто;Зараховано;2018;88
1968;жіноча;Донецька  ;місто;Зараховано;2018;89
1968;жіноча;Вінницька  ;місто;Зараховано;2018;90
1968;жіноча;Полтавська  ;місто;Зараховано;2018;91
1968;жіноча;Чернівецька  ;місто;Зараховано;2018;92
1968;чоловіча;Київська  ;село;Не подолав поріг;2018;93
1968;жіноча;Кіровоградська  ;місто;Зараховано;2018;94
1969;жіноча;Донецька  ;місто;Зараховано;2018;95
1969;чоловіча;Київська  ;село;Не з’явився;2018;96
1969;чоловіча;Запорізька  ;місто;Не з’явився;2018;97
1969;чоловіча;Запорізька  ;місто;Зараховано;2018;98
1969;жіноча;Дніпропетровська  ;місто;Зараховано;2018;99
1969;жіноча;Дніпропетровська  ;місто;Не з’явився;2018;100
1969;чоловіча;Донецька  ;місто;Не з’явився;2018;101
1969;жіноча;Запорізька  ;місто;Зараховано;2018;102
1969;чоловіча;Дніпропетровська  ;село;Не з’явився;2018;103
1969;жіноча;Запорізька  ;місто;Зараховано;2018;104
1969;чоловіча;Донецька  ;місто;Зараховано;2018;105
1969;чоловіча;Запорізька  ;місто;Не з’явився;2018;106
1969;жіноча;Миколаївська  ;місто;Зараховано;2018;107
1969;жіноча;Харківська  ;село;Зараховано;2018;108
1969;жіноча;Донецька  ;місто;Зараховано;2018;109
1969;чоловіча;Київська  ;село;Не з’явився;2018;110
1969;жіноча;Дніпропетровська  ;місто;Зараховано;2018;111
1969;жіноча;Миколаївська  ;місто;Зараховано;2018;112
1969;жіноча;Одеська  ;село;Не подолав поріг;2018;113
1969;жіноча;Запорізька  ;місто;Не з’явився;2018;114
1969;чоловіча;Донецька  ;місто;Не з’явився;2018;115
1969;жіноча;Донецька  ;місто;Зараховано;2018;116
1969;жіноча;Луганська  ;місто;Зараховано;2018;117
1969;жіноча;Одеська  ;село;Зараховано;2018;118
1969;чоловіча;Київська  ;село;Не подолав поріг;2018;119
1969;жіноча;Одеська  ;місто;Не з’явився;2018;120
1969;чоловіча;Хмельницька  ;місто;Не з’явився;2018;121
1969;чоловіча;Вінницька  ;село;Не з’явився;2018;122
